fecha,trigo,maiz,soja
2024-06-25 03:00:00,219800.0,159000.0,280000.0
2024-06-26 03:00:00,220000.0,162000.0,281000.0
2024-06-27 03:00:00,220000.0,162300.0,280000.0
2024-06-28 03:00:00,219800.0,159500.0,280000.0
2024-07-01 03:00:00,219800.0,159500.0,283500.0
2024-07-02 03:00:00,226000.0,160500.0,286500.0
2024-07-03 03:00:00,229900.0,160000.0,286500.0
2024-07-04 03:00:00,230000.0,157500.0,285500.0
2024-07-05 03:00:00,230500.0,156200.0,290000.0
2024-07-08 03:00:00,228000.0,150000.0,281000.0
2024-07-10 03:00:00,227000.0,150000.0,280000.0
2024-07-11 03:00:00,227500.0,154850.0,285000.0
2024-07-12 03:00:00,229000.0,155000.0,285500.0
2024-07-15 03:00:00,230000.0,150500.0,280500.0
2024-07-16 03:00:00,227000.0,151500.0,285000.0
2024-07-17 03:00:00,227000.0,153500.0,285000.0
2024-07-18 03:00:00,226500.0,150500.0,285500.0
2024-07-19 03:00:00,230000.0,151000.0,285500.0
2024-07-22 03:00:00,230000.0,155000.0,290000.0
2024-07-23 03:00:00,230000.0,160000.0,290000.0
2024-07-24 03:00:00,230000.0,160000.0,290000.0
2024-07-25 03:00:00,230000.0,160000.0,293500.0
2024-07-26 03:00:00,231000.0,155800.0,285000.0
2024-07-29 03:00:00,231000.0,154900.0,285000.0
2024-07-30 03:00:00,231000.0,155000.0,285000.0
2024-07-31 03:00:00,231000.0,152000.0,282000.0
2024-08-01 03:00:00,230000.0,151800.0,285000.0
2024-08-02 03:00:00,231000.0,155000.0,285500.0
2024-08-05 03:00:00,232000.0,160000.0,290000.0
2024-08-06 03:00:00,235000.0,160000.0,290000.0
2024-08-07 03:00:00,239000.0,160000.0,287000.0
2024-08-08 03:00:00,240000.0,160000.0,285000.0
2024-08-09 03:00:00,240000.0,160000.0,285000.0
2024-08-12 03:00:00,240000.0,160000.0,280000.0
2024-08-13 03:00:00,230000.0,160000.0,280000.0
2024-08-14 03:00:00,230000.0,160000.0,280000.0
2024-08-15 03:00:00,230000.0,160000.0,285000.0
2024-08-16 03:00:00,230000.0,160000.0,285000.0
2024-08-19 03:00:00,230000.0,161000.0,289300.0
2024-08-20 03:00:00,230000.0,161800.0,291000.0
2024-08-21 03:00:00,230000.0,163000.0,293000.0
2024-08-22 03:00:00,230000.0,163000.0,290000.0
2024-08-23 03:00:00,228000.0,163000.0,291000.0
2024-08-26 03:00:00,225000.0,163000.0,293500.0
2024-08-27 03:00:00,230000.0,165000.0,297000.0
2024-08-28 03:00:00,225000.0,165000.0,295000.0
2024-08-29 03:00:00,225000.0,165000.0,300000.0
2024-08-30 03:00:00,223000.0,165000.0,297000.0
2024-09-02 03:00:00,220000.0,165000.0,295000.0
2024-09-03 03:00:00,220000.0,169500.0,300000.0
2024-09-04 03:00:00,220000.0,170000.0,300000.0
2024-09-05 03:00:00,220000.0,169900.0,295000.0
2024-09-06 03:00:00,220000.0,169000.0,292000.0
2024-09-09 03:00:00,214000.0,165000.0,295000.0
2024-09-10 03:00:00,214000.0,166500.0,293800.0
2024-09-11 03:00:00,211000.0,167000.0,295000.0
2024-09-12 03:00:00,214000.0,167000.0,297000.0
2024-09-13 03:00:00,214000.0,169900.0,295100.0
2024-09-16 03:00:00,214000.0,165500.0,295000.0
2024-09-17 03:00:00,205000.0,166250.0,295000.0
2024-09-18 03:00:00,205000.0,167500.0,300000.0
2024-09-19 03:00:00,205000.0,169500.0,300000.0
2024-09-20 03:00:00,205000.0,169500.0,300000.0
2024-09-23 03:00:00,205000.0,170000.0,300000.0
2024-09-24 03:00:00,195000.0,170000.0,300000.0
2024-09-25 03:00:00,195000.0,172000.0,300000.0
2024-09-26 03:00:00,200000.0,172000.0,305000.0
2024-09-27 03:00:00,200000.0,174950.0,305000.0
2024-09-30 03:00:00,200000.0,179000.0,310000.0
2024-10-01 03:00:00,200000.0,180000.0,315000.0
2024-10-02 03:00:00,210000.0,181800.0,315000.0
2024-10-03 03:00:00,210000.0,181500.0,310000.0
2024-10-04 03:00:00,210000.0,180500.0,310000.0
2024-10-07 03:00:00,210000.0,180000.0,305000.0
2024-10-08 03:00:00,210000.0,180000.0,305000.0
2024-10-09 03:00:00,210000.0,181000.0,300000.0
2024-10-10 03:00:00,210000.0,180500.0,300000.0
2024-10-14 03:00:00,219000.0,177000.0,300000.0
2024-10-15 03:00:00,215000.0,177500.0,303000.0
2024-10-16 03:00:00,215000.0,179000.0,305000.0
2024-10-17 03:00:00,215000.0,180000.0,305800.0
2024-10-18 03:00:00,207500.0,180000.0,310000.0
2024-10-21 03:00:00,205000.0,182000.0,311200.0
2024-10-22 03:00:00,204500.0,182900.0,310000.0
2024-10-23 03:00:00,203000.0,180000.0,312500.0
2024-10-24 03:00:00,200000.0,180000.0,314900.0
2024-10-25 03:00:00,195000.0,180000.0,308000.0
2024-10-28 03:00:00,195000.0,177800.0,305000.0
2024-10-29 03:00:00,196500.0,177800.0,302000.0
2024-10-30 03:00:00,195000.0,178000.0,305000.0
2024-10-31 03:00:00,195000.0,178000.0,303000.0
2024-11-01 03:00:00,195000.0,180000.0,301000.0
2024-11-04 03:00:00,195000.0,180000.0,306500.0
2024-11-05 03:00:00,195000.0,180000.0,306300.0
2024-11-06 03:00:00,195000.0,182000.0,309000.0
2024-11-07 03:00:00,197000.0,183000.0,310000.0
2024-11-08 03:00:00,190000.0,185200.0,309500.0
2024-11-11 03:00:00,190000.0,185000.0,305200.0
2024-11-12 03:00:00,190000.0,185000.0,305000.0
2024-11-13 03:00:00,189500.0,186300.0,301000.0
2024-11-14 03:00:00,187000.0,185000.0,300000.0
2024-11-15 03:00:00,183000.0,183000.0,304000.0
2024-11-19 03:00:00,189000.0,185000.0,300000.0
2024-11-20 03:00:00,191500.0,185000.0,299800.0
2024-11-21 03:00:00,191500.0,185000.0,295000.0
2024-11-22 03:00:00,190000.0,184000.0,292000.0
2024-11-25 03:00:00,189000.0,182500.0,295000.0
2024-11-26 03:00:00,190000.0,182500.0,294900.0
2024-11-27 03:00:00,192000.0,182800.0,295000.0
2024-11-28 03:00:00,192900.0,182000.0,293000.0
2024-11-29 03:00:00,191000.0,182000.0,293000.0
2024-12-02 03:00:00,190000.0,180000.0,290000.0
2024-12-03 03:00:00,190000.0,182800.0,295000.0
2024-12-04 03:00:00,190000.0,183000.0,295000.0
2024-12-05 03:00:00,190000.0,183000.0,295000.0
2024-12-06 03:00:00,194200.0,183000.0,296500.0
2024-12-09 03:00:00,194500.0,180500.0,295100.0
2024-12-10 03:00:00,195200.0,180500.0,297000.0
2024-12-11 03:00:00,195000.0,180500.0,297000.0
2024-12-12 03:00:00,195000.0,180500.0,295000.0
2024-12-13 03:00:00,195000.0,180000.0,291000.0
2024-12-16 03:00:00,195000.0,180000.0,290000.0
2024-12-17 03:00:00,196000.0,180500.0,285000.0
2024-12-18 03:00:00,199500.0,184800.0,280000.0
2024-12-19 03:00:00,198500.0,183500.0,280000.0
2024-12-20 03:00:00,198000.0,187000.0,280000.0
2024-12-23 03:00:00,199000.0,187000.0,281000.0
2024-12-26 03:00:00,199000.0,190000.0,286500.0
2024-12-27 03:00:00,200000.0,190000.0,285000.0
2024-12-30 03:00:00,200000.0,190000.0,285000.0
2025-01-02 03:00:00,199500.0,190000.0,290000.0
2025-01-03 03:00:00,195000.0,190000.0,285000.0
2025-01-06 03:00:00,195000.0,191900.0,289000.0
2025-01-07 03:00:00,195000.0,193800.0,288000.0
2025-01-08 03:00:00,196500.0,195000.0,287900.0
2025-01-09 03:00:00,196500.0,198000.0,288000.0
2025-01-10 03:00:00,197000.0,200000.0,292500.0
2025-01-13 03:00:00,197000.0,205000.0,295000.0
2025-01-14 03:00:00,196000.0,205000.0,295500.0
2025-01-15 03:00:00,196000.0,206000.0,295000.0
2025-01-16 03:00:00,199000.0,205000.0,285000.0
2025-01-17 03:00:00,198000.0,209000.0,290000.0
2025-01-20 03:00:00,198000.0,206500.0,290000.0
2025-01-21 03:00:00,199000.0,209300.0,293000.0
2025-01-22 03:00:00,200000.0,211500.0,295000.0
2025-01-23 03:00:00,202000.0,213000.0,295500.0
2025-01-24 03:00:00,202000.0,213000.0,295500.0
2025-01-27 03:00:00,202000.0,213000.0,295500.0
2025-01-28 03:00:00,209500.0,215000.0,310000.0
2025-01-29 03:00:00,213000.0,221500.0,315000.0
2025-01-30 03:00:00,213000.0,224000.0,315000.0
2025-01-31 03:00:00,213000.0,223000.0,315000.0
2025-02-03 03:00:00,210000.0,223000.0,315000.0
2025-02-04 03:00:00,210000.0,225000.0,320000.0
2025-02-05 03:00:00,214000.0,224000.0,320000.0
2025-02-06 03:00:00,220000.0,224000.0,320000.0
2025-02-07 03:00:00,220000.0,220000.0,322000.0
2025-02-10 03:00:00,220000.0,220000.0,322000.0
2025-02-11 03:00:00,220000.0,220000.0,325000.0
2025-02-12 03:00:00,220000.0,219000.0,320000.0
2025-02-13 03:00:00,219500.0,218000.0,325000.0
2025-02-14 03:00:00,220000.0,217000.0,330000.0
2025-02-17 03:00:00,220000.0,215000.0,330000.0
2025-02-18 03:00:00,221500.0,216000.0,331400.0
2025-02-19 03:00:00,223000.0,217000.0,331400.0
2025-02-20 03:00:00,223000.0,218000.0,332000.0
2025-02-21 03:00:00,226000.0,215000.0,330000.0
2025-02-24 03:00:00,226000.0,212000.0,326000.0
2025-02-25 03:00:00,225000.0,211500.0,330000.0
2025-02-26 03:00:00,224500.0,214500.0,330000.0
2025-02-27 03:00:00,221200.0,214800.0,331000.0
2025-02-28 03:00:00,219500.0,214800.0,322500.0
2025-03-05 03:00:00,213000.0,208500.0,318500.0
2025-03-06 03:00:00,212000.0,212000.0,329000.0
2025-03-07 03:00:00,214000.0,210000.0,330000.0
2025-03-10 03:00:00,215000.0,207500.0,328500.0
2025-03-11 03:00:00,222500.0,208000.0,329000.0
2025-03-12 03:00:00,223500.0,206000.0,320500.0
2025-03-13 03:00:00,224000.0,207500.0,320000.0
2025-03-14 03:00:00,230000.0,207000.0,320000.0
2025-03-17 03:00:00,230000.0,206500.0,321000.0
2025-03-18 03:00:00,233000.0,207400.0,325000.0
2025-03-19 03:00:00,236000.0,208500.0,327500.0
2025-03-20 03:00:00,235000.0,210000.0,328000.0
2025-03-21 03:00:00,235500.0,210000.0,327500.0
2025-03-25 03:00:00,235000.0,209000.0,330500.0
2025-03-26 03:00:00,235000.0,210000.0,340000.0
2025-03-27 03:00:00,235000.0,209000.0,343000.0
2025-03-28 03:00:00,235000.0,208000.0,343000.0
2025-03-31 03:00:00,235000.0,210000.0,343000.0
2025-04-01 03:00:00,235000.0,210000.0,315000.0
2025-04-03 03:00:00,235000.0,213500.0,315000.0
2025-04-04 03:00:00,235000.0,214500.0,310000.0
2025-04-07 03:00:00,235000.0,215000.0,310000.0
2025-04-08 03:00:00,235000.0,218000.0,320000.0
2025-04-09 03:00:00,239900.0,222000.0,324000.0
2025-04-10 03:00:00,239000.0,224500.0,325000.0
2025-04-11 03:00:00,239000.0,225000.0,330000.0
2025-04-14 03:00:00,240000.0,230000.0,330000.0
2025-04-15 03:00:00,248000.0,237500.0,335000.0
2025-04-16 03:00:00,248000.0,232000.0,317500.0
2025-04-21 03:00:00,227850.0,216000.0,302500.0
2025-04-22 03:00:00,228500.0,220000.0,304500.0
2025-04-23 03:00:00,236000.0,227000.0,308000.0
2025-04-24 03:00:00,240000.0,231000.0,315000.0
2025-04-25 03:00:00,243000.0,233000.0,310000.0
2025-04-28 03:00:00,235000.0,231000.0,310000.0
2025-04-29 03:00:00,233000.0,228000.0,302000.0
2025-04-30 03:00:00,233000.0,228000.0,290000.0
2025-05-05 03:00:00,231000.0,221000.0,308000.0
2025-05-06 03:00:00,234000.0,223500.0,316500.0
2025-05-07 03:00:00,220800.0,210000.0,303000.0
2025-05-08 03:00:00,221000.0,204000.0,300000.0
2025-05-09 03:00:00,225400.0,207000.0,310000.0
2025-05-12 03:00:00,222400.0,207000.0,310000.0
2025-05-13 03:00:00,220000.0,206000.0,304000.0
2025-05-14 03:00:00,224000.0,208000.0,305000.0
2025-05-15 03:00:00,224500.0,211000.0,308000.0
2025-05-16 03:00:00,224000.0,213000.0,311500.0
2025-05-19 03:00:00,225000.0,210000.0,312500.0
2025-05-20 03:00:00,226700.0,212000.0,315000.0
2025-05-21 03:00:00,228500.0,213000.0,315000.0
2025-05-22 03:00:00,227000.0,210000.0,314000.0
2025-05-23 03:00:00,225000.0,206000.0,307500.0
2025-05-26 03:00:00,226800.0,207000.0,311000.0
2025-05-27 03:00:00,228500.0,210800.0,314000.0
2025-05-28 03:00:00,230000.0,210000.0,310000.0
2025-05-29 03:00:00,234800.0,209700.0,317000.0
2025-05-30 03:00:00,235800.0,209000.0,320000.0
2025-06-02 03:00:00,234300.0,205000.0,320000.0
2025-06-03 03:00:00,234900.0,205200.0,322500.0
2025-06-04 03:00:00,235300.0,205000.0,323000.0
2025-06-05 03:00:00,236400.0,206500.0,323500.0
2025-06-06 03:00:00,235300.0,203700.0,321300.0
2025-06-09 03:00:00,234000.0,202900.0,320000.0
2025-06-10 03:00:00,235500.0,202800.0,320800.0
2025-06-11 03:00:00,232250.0,205000.0,326000.0
2025-06-12 03:00:00,232850.0,205000.0,323800.0
2025-06-13 03:00:00,232500.0,205500.0,327000.0
2025-06-17 03:00:00,230200.0,201000.0,326900.0
2025-06-18 03:00:00,226700.0,198000.0,318200.0
2025-06-19 03:00:00,230600.0,200000.0,319400.0
2025-06-23 03:00:00,232400.0,202000.0,319500.0
2025-06-24 03:00:00,233100.0,200000.0,323000.0
2025-06-25 03:00:00,236500.0,201000.0,321000.0
2025-06-26 03:00:00,236100.0,201800.0,321000.0
2025-06-27 03:00:00,236000.0,201500.0,321000.0
2025-06-30 03:00:00,238600.0,202100.0,321000.0
2025-07-01 03:00:00,240000.0,203000.0,321000.0
2025-07-02 03:00:00,241500.0,204000.0,315000.0
2025-07-03 03:00:00,241950.0,208700.0,315000.0
2025-07-04 03:00:00,243700.0,206000.0,315000.0
2025-07-07 03:00:00,244700.0,210000.0,315000.0
2025-07-08 03:00:00,243000.0,208500.0,315000.0
2025-07-10 03:00:00,243000.0,211820.0,320000.0
2025-07-11 03:00:00,245000.0,213000.0,323000.0
2025-07-14 03:00:00,250000.0,215900.0,330000.0
2025-07-15 03:00:00,246400.0,218000.0,330000.0
2025-07-16 03:00:00,249700.0,219900.0,330000.0
2025-07-17 03:00:00,251500.0,221000.0,335000.0
2025-07-18 03:00:00,255200.0,222000.0,340000.0
