fecha,trigo,maiz,soja,valor_usd,trigo_usd,maiz_usd,soja_usd
2024-01-24,184400.0,155000.0,275000.0,822.4,224.22178988326849,188.4727626459144,334.38715953307394
2024-01-25,184900.0,155500.0,275000.0,823.0,224.6658566221142,188.94289185905225,334.1433778857837
2024-01-26,185000.0,155000.0,267500.0,823.5,224.6508803885853,188.22100789313905,324.83302975106255
2024-01-29,180000.0,154000.0,265000.0,825.2,218.12893843916626,186.62142510906446,321.13427047988364
2024-01-30,184900.0,155000.0,269500.0,825.7,223.93120988252392,187.7195107181785,326.38972992612327
2024-01-31,185000.0,155000.0,265000.0,826.4,223.8625363020329,187.56050338818974,320.66795740561474
2024-02-01,183000.0,154900.0,265500.0,826.9,221.3085016326037,187.32615793929133,321.07872777844966
2024-02-02,188800.0,152000.0,265500.0,827.3,228.21225673878885,183.73020669648255,320.9234860389218
2024-02-05,181800.0,151000.0,265300.0,829.0,219.30036188178528,182.1471652593486,320.0241254523522
2024-02-06,181800.0,150000.0,265000.0,829.5,219.16817359855335,180.83182640144665,319.46955997588907
2024-02-07,181000.0,151000.0,261950.0,830.2,218.01975427607803,181.88388340158997,315.52637918573834
2024-02-08,183000.0,150000.0,261000.0,830.6,220.32265831928726,180.5923428846617,314.23067661931134
2024-02-09,184900.0,148000.0,260000.0,831.3,222.4227114158547,178.03440394562733,312.7631420666426
2024-02-14,180000.0,149800.0,253000.0,833.9,215.85321981052886,179.63784626454012,303.39369228924335
2024-02-15,180000.0,147500.0,250000.0,834.5,215.69802276812462,176.75254643499102,299.58058717795086
2024-02-16,175500.0,144400.0,250000.0,835.0,210.17964071856287,172.93413173652695,299.4011976047904
2024-02-19,171000.0,141500.0,245000.0,836.7,204.37432771602724,169.11676825624477,292.81701924226127
2024-02-20,170000.0,143000.0,247300.0,837.2,203.0578117534639,170.80745341614906,295.38939321548014
2024-02-21,170000.0,140800.0,245000.0,837.9,202.88817281298486,168.03914548275452,292.39766081871346
2024-02-22,170000.0,139500.0,240000.0,838.3,202.79136347369678,166.40820708576882,286.29368960992485
2024-02-23,170000.0,135000.0,240000.0,838.9,202.64632256526403,160.92502086065085,286.0889259744904
2024-02-26,170000.0,135100.0,240000.0,840.6,202.23649773970973,160.7185343802046,285.5103497501784
2024-02-27,170000.0,139800.0,241000.0,841.1,202.1162763048389,166.21091427892046,286.52954464391865
2024-02-28,170000.0,140500.0,242500.0,841.7,201.9721991208269,166.92408221456574,288.1074016870619
2024-02-29,170000.0,141000.0,243500.0,842.2,201.85229161719306,167.4186654001425,289.1237235810971
2024-03-01,169500.0,144000.0,248000.0,842.5,201.18694362017803,170.91988130563797,294.3620178041543
2024-03-04,170500.0,144000.0,249000.0,844.0,202.01421800947867,170.61611374407582,295.02369668246445
2024-03-05,170500.0,144000.0,250000.0,845.0,201.77514792899407,170.41420118343194,295.85798816568047
